,Title,Sumber,Label,Hasil_Case_Folding,Hasil_Token,Hasil_Stopword,Hasil_Stemming
561,"Vaksin COVID-19 Kantongi Izin dan Fatwa Halal, IDI: Hentikan Polemik!",detikHealth,1,vaksin covid kantongi izin dan fatwa halal idi hentikan polemik,"['vaksin', 'covid', 'kantongi', 'izin', 'dan', 'fatwa', 'halal', 'idi', 'hentikan', 'polemik']","['', 'kantongi', 'izin', 'fatwa', 'halal', 'idi', 'hentikan', 'polemik']","['', 'kantong', 'izin', 'fatwa', 'halal', 'idi', 'henti', 'polemik']"
562,"BPOM: Efikasi Vaksin Sinovac 65,3% dan Efek Samping Ringan-Sedang",detikHealth,-1,bpom efikasi vaksin sinovac dan efek samping ringansedang,"['bpom', 'efikasi', 'vaksin', 'sinovac', 'dan', 'efek', 'samping', 'ringansedang']","['bpom', 'efikasi', 'sinovac', 'efek', 'samping', 'ringansedang']","['bpom', 'efikasi', 'sinovac', 'efek', 'samping', 'ringansedang']"
563,BPOM Jelaskan Efek Samping Vaksin Sinovac yang Sudah Kantongi Izin EUA,detikHealth,0,bpom jelaskan efek samping vaksin sinovac yang sudah kantongi izin eua,"['bpom', 'jelaskan', 'efek', 'samping', 'vaksin', 'sinovac', 'yang', 'sudah', 'kantongi', 'izin', 'eua']","['bpom', 'jelaskan', 'efek', 'samping', 'sinovac', 'kantongi', 'izin', 'eua']","['bpom', 'jelas', 'efek', 'samping', 'sinovac', 'kantong', 'izin', 'eua']"
564,"Efikasi Vaksin COVID-19 Sinovac 65,3 Persen, BPOM: Sesuai Standar WHO",detikHealth,1,efikasi vaksin covid sinovac persen bpom sesuai standar who,"['efikasi', 'vaksin', 'covid', 'sinovac', 'persen', 'bpom', 'sesuai', 'standar', 'who']","['efikasi', 'sinovac', 'persen', 'bpom', 'sesuai', 'standar', 'who']","['efikasi', 'sinovac', 'persen', 'bpom', 'sesuai', 'standar', 'who']"
565,"Sah! BPOM Beri Izin Vaksin COVID-19 Sinovac, Eficacy 65,3 Persen",detikHealth,1,sah bpom beri izin vaksin covid sinovac eficacy persen,"['sah', 'bpom', 'beri', 'izin', 'vaksin', 'covid', 'sinovac', 'eficacy', 'persen']","['sah', 'bpom', 'beri', 'izin', 'sinovac', 'eficacy', 'persen']","['sah', 'bpom', 'beri', 'izin', 'sinovac', 'eficacy', 'persen']"
566,Menkes: Vaksin dari GAVI-COVAX untuk Kelompok Usia di Atas 60 Tahun,detikHealth,0,menkes vaksin dari gavicovax untuk kelompok usia di atas tahun,"['menkes', 'vaksin', 'dari', 'gavicovax', 'untuk', 'kelompok', 'usia', 'di', 'atas', 'tahun']","['menkes', 'gavicovax', 'kelompok', 'usia', 'atas', 'tahun']","['menkes', 'gavicovax', 'kelompok', 'usia', 'atas', 'tahun']"
567,"Ingatkan Keadilan, WHO Ingin Negara Kaya Setop Memborong Vaksin COVID-19",detikHealth,0,ingatkan keadilan who ingin negara kaya setop memborong vaksin covid,"['ingatkan', 'keadilan', 'who', 'ingin', 'negara', 'kaya', 'setop', 'memborong', 'vaksin', 'covid']","['ingatkan', 'keadilan', 'who', 'negara', 'kaya', 'setop', 'memborong', '']","['ingat', 'adil', 'who', 'negara', 'kaya', 'setop', 'borong', '']"
568,Raja Salman Divaksin COVID-19 Buatan Pfizer-BioNTech,detikHealth,0,raja salman divaksin covid buatan pfizerbiontech,"['raja', 'salman', 'divaksin', 'covid', 'buatan', 'pfizerbiontech']","['raja', 'salman', 'buatan', 'pfizerbiontech']","['raja', 'salman', 'buat', 'pfizerbiontech']"
569,Ini Daftar Vaksin Corona yang Dibeli Indonesia,detikHealth,0,ini daftar vaksin corona yang dibeli indonesia,"['ini', 'daftar', 'vaksin', 'corona', 'yang', 'dibeli', 'indonesia']","['', 'daftar', 'dibeli', 'indonesia']","['', 'daftar', 'beli', 'indonesia']"
570,"Tak Langsung Kebal, Butuh Waktu Bangun Antibodi Setelah Suntik Vaksin COVID-19",detikHealth,0,tak langsung kebal butuh waktu bangun antibodi setelah suntik vaksin covid,"['tak', 'langsung', 'kebal', 'butuh', 'waktu', 'bangun', 'antibodi', 'setelah', 'suntik', 'vaksin', 'covid']","['tak', 'langsung', 'kebal', 'butuh', 'waktu', 'bangun', 'antibodi', 'suntik', '']","['tak', 'langsung', 'kebal', 'butuh', 'waktu', 'bangun', 'antibodi', 'suntik', '']"
571,Melihat Alur Pelayanan Vaksinasi Covid-19 di RI,detikHealth,0,melihat alur pelayanan vaksinasi covid di ri,"['melihat', 'alur', 'pelayanan', 'vaksinasi', 'covid', 'di', 'ri']","['melihat', 'alur', 'pelayanan', 'ri']","['lihat', 'alur', 'layan', 'ri']"
572,Sudah Divaksin Bukan Berarti Tak Bisa Terinfeksi COVID-19,detikHealth,-1,sudah divaksin bukan berarti tak bisa terinfeksi covid,"['sudah', 'divaksin', 'bukan', 'berarti', 'tak', 'bisa', 'terinfeksi', 'covid']","['', 'bukan', 'berarti', 'tak', 'terinfeksi', '']","['', 'bukan', 'arti', 'tak', 'infeksi', '']"
573,Terpopuler Sepekan: Ingat! Jangan Langsung Pulang Usai Disuntik Vaksin Corona,detikHealth,0,terpopuler sepekan ingat jangan langsung pulang usai disuntik vaksin corona,"['terpopuler', 'sepekan', 'ingat', 'jangan', 'langsung', 'pulang', 'usai', 'disuntik', 'vaksin', 'corona']","['terpopuler', 'sepekan', 'ingat', 'jangan', 'langsung', 'pulang', 'usai', 'disuntik', '']","['populer', 'pek', 'ingat', 'jangan', 'langsung', 'pulang', 'usai', 'suntik', '']"
574,Menkes Singgung Kepercayaan Vaksin Corona di Masyarakat,detikHealth,0,menkes singgung kepercayaan vaksin corona di masyarakat,"['menkes', 'singgung', 'kepercayaan', 'vaksin', 'corona', 'di', 'masyarakat']","['menkes', 'singgung', 'kepercayaan', 'masyarakat']","['menkes', 'singgung', 'percaya', 'masyarakat']"
575,Menkes Tak Desak BPOM untuk Segera Keluarkan EUA Vaksin Corona Sinovac,detikHealth,0,menkes tak desak bpom untuk segera keluarkan eua vaksin corona sinovac,"['menkes', 'tak', 'desak', 'bpom', 'untuk', 'segera', 'keluarkan', 'eua', 'vaksin', 'corona', 'sinovac']","['menkes', 'tak', 'desak', 'bpom', 'segera', 'keluarkan', 'eua', 'sinovac']","['menkes', 'tak', 'desak', 'bpom', 'segera', 'keluar', 'eua', 'sinovac']"
576,"Pasien Jantung Tak Disarankan Suntik Vaksin COVID-19, Ini Alasannya",detikHealth,0,pasien jantung tak disarankan suntik vaksin covid ini alasannya,"['pasien', 'jantung', 'tak', 'disarankan', 'suntik', 'vaksin', 'covid', 'ini', 'alasannya']","['pasien', 'jantung', 'tak', 'disarankan', 'suntik', 'alasannya']","['pasien', 'jantung', 'tak', 'saran', 'suntik', 'alas']"
577,Jadwal Vaksinasi COVID-19 di Indonesia,detikHealth,0,jadwal vaksinasi covid di indonesia,"['jadwal', 'vaksinasi', 'covid', 'di', 'indonesia']","['jadwal', 'indonesia']","['jadwal', 'indonesia']"
578,"Daftar Petinggi Negara yang Sudah Vaksin COVID-19, Joe Biden hingga Raja Salman",detikHealth,0,daftar petinggi negara yang sudah vaksin covid joe biden hingga raja salman,"['daftar', 'petinggi', 'negara', 'yang', 'sudah', 'vaksin', 'covid', 'joe', 'biden', 'hingga', 'raja', 'salman']","['daftar', 'petinggi', 'negara', 'joe', 'biden', 'hingga', 'raja', 'salman']","['daftar', 'petinggi', 'negara', 'joe', 'biden', 'hingga', 'raja', 'salman']"
579,"Akhirnya, MUI Pastikan Vaksin Corona Sinovac Suci dan Halal",detikHealth,1,akhirnya mui pastikan vaksin corona sinovac suci dan halal,"['akhirnya', 'mui', 'pastikan', 'vaksin', 'corona', 'sinovac', 'suci', 'dan', 'halal']","['akhirnya', 'mui', 'pastikan', 'sinovac', 'suci', 'halal']","['akhir', 'mui', 'pasti', 'sinovac', 'suci', 'halal']"
580,Jubir Kemenkes Bicara soal Denda Tolak Vaksin Corona,detikHealth,-1,jubir kemenkes bicara soal denda tolak vaksin corona,"['jubir', 'kemenkes', 'bicara', 'soal', 'denda', 'tolak', 'vaksin', 'corona']","['jubir', 'kemenkes', 'bicara', 'soal', 'denda', 'tolak', '']","['jubir', 'kemenkes', 'bicara', 'soal', 'denda', 'tolak', '']"
581,BPOM Pastikan Vaksin Corona Sinovac Tidak Mengandung Bahan Non-Halal,detikHealth,1,bpom pastikan vaksin corona sinovac tidak mengandung bahan nonhalal,"['bpom', 'pastikan', 'vaksin', 'corona', 'sinovac', 'tidak', 'mengandung', 'bahan', 'nonhalal']","['bpom', 'pastikan', 'sinovac', 'mengandung', 'bahan', 'nonhalal']","['bpom', 'pasti', 'sinovac', 'kandung', 'bahan', 'nonhalal']"
582,BPOM Pastikan Izin Darurat Vaksin Sinovac Bisa Keluar Sebelum 13 Januari,detikHealth,1,bpom pastikan izin darurat vaksin sinovac bisa keluar sebelum januari,"['bpom', 'pastikan', 'izin', 'darurat', 'vaksin', 'sinovac', 'bisa', 'keluar', 'sebelum', 'januari']","['bpom', 'pastikan', 'izin', 'darurat', 'sinovac', 'keluar', 'januari']","['bpom', 'pasti', 'izin', 'darurat', 'sinovac', 'keluar', 'januari']"
583,"Beredar Daftar Artis Penerima Vaksin Pertama, Ini Kata Jubir Vaksinasi",detikHealth,0,beredar daftar artis penerima vaksin pertama ini kata jubir vaksinasi,"['beredar', 'daftar', 'artis', 'penerima', 'vaksin', 'pertama', 'ini', 'kata', 'jubir', 'vaksinasi']","['beredar', 'daftar', 'artis', 'penerima', 'pertama', 'kata', 'jubir', '']","['edar', 'daftar', 'artis', 'terima', 'pertama', 'kata', 'jubir', '']"
584,Syarat Dapat E-Tiket Vaksinasi Covid-19,detikHealth,0,syarat dapat etiket vaksinasi covid,"['syarat', 'dapat', 'etiket', 'vaksinasi', 'covid']","['syarat', 'etiket', '']","['syarat', 'etiket', '']"
585,Vaksin Corona Pfizer Disebut Efektif Lawan Varian Baru Corona,detikHealth,1,vaksin corona pfizer disebut efektif lawan varian baru corona,"['vaksin', 'corona', 'pfizer', 'disebut', 'efektif', 'lawan', 'varian', 'baru', 'corona']","['', 'pfizer', 'disebut', 'efektif', 'lawan', 'varian', 'baru', '']","['', 'pfizer', 'sebut', 'efektif', 'lawan', 'varian', 'baru', '']"
586,"Sederet Manfaat Vaksin COVID-19, Salah Satunya Menciptakan Antibodi",detikHealth,1,sederet manfaat vaksin covid salah satunya menciptakan antibodi,"['sederet', 'manfaat', 'vaksin', 'covid', 'salah', 'satunya', 'menciptakan', 'antibodi']","['sederet', 'manfaat', 'salah', 'satunya', 'menciptakan', 'antibodi']","['deret', 'manfaat', 'salah', 'satu', 'cipta', 'antibodi']"
587,Kabar Terbaru Fatwa MUI Tentang Vaksin Corona Sinovac,detikHealth,0,kabar terbaru fatwa mui tentang vaksin corona sinovac,"['kabar', 'terbaru', 'fatwa', 'mui', 'tentang', 'vaksin', 'corona', 'sinovac']","['kabar', 'terbaru', 'fatwa', 'mui', 'sinovac']","['kabar', 'baru', 'fatwa', 'mui', 'sinovac']"
588,CEO Moderna Sebut Vaksinnya Kemungkinan Efektif Hingga 2 Tahun,detikHealth,1,ceo moderna sebut vaksinnya kemungkinan efektif hingga tahun,"['ceo', 'moderna', 'sebut', 'vaksinnya', 'kemungkinan', 'efektif', 'hingga', 'tahun']","['ceo', 'moderna', 'sebut', 'vaksinnya', 'kemungkinan', 'efektif', 'hingga', 'tahun']","['ceo', 'moderna', 'sebut', 'vaksin', 'mungkin', 'efektif', 'hingga', 'tahun']"
589,"Hasil Akhir Uji Vaksin Sinovac 78 Persen Efektif, 100 Persen Cegah Kasus Berat",detikHealth,1,hasil akhir uji vaksin sinovac persen efektif persen cegah kasus berat,"['hasil', 'akhir', 'uji', 'vaksin', 'sinovac', 'persen', 'efektif', 'persen', 'cegah', 'kasus', 'berat']","['hasil', 'akhir', 'uji', 'sinovac', 'persen', 'efektif', 'persen', 'cegah', 'kasus', 'berat']","['hasil', 'akhir', 'uji', 'sinovac', 'persen', 'efektif', 'persen', 'cegah', 'kasus', 'berat']"
590,Kemenkes Imbau Calon Penerima Vaksin Corona Jujur saat Skrining,detikHealth,0,kemenkes imbau calon penerima vaksin corona jujur saat skrining,"['kemenkes', 'imbau', 'calon', 'penerima', 'vaksin', 'corona', 'jujur', 'saat', 'skrining']","['kemenkes', 'imbau', 'calon', 'penerima', 'jujur', 'skrining']","['kemenkes', 'imbau', 'calon', 'terima', 'jujur', 'skrining']"
591,"5 Hal yang Bisa Memperbesar Mr P, Vaksin Tak Termasuk",detikHealth,0,hal yang bisa memperbesar mr  vaksin tak termasuk,"['hal', 'yang', 'bisa', 'memperbesar', 'mr', 'vaksin', 'tak', 'termasuk']","['', 'memperbesar', 'mr', 'tak', 'termasuk']","['', 'besar', 'mr', 'tak', 'masuk']"
592,"Soal Reaksi Alergi Parah Pasca Vaksinasi COVID-19, CDC: Sangat Jarang",detikHealth,1,soal reaksi alergi parah pasca vaksinasi covid cdc sangat jarang,"['soal', 'reaksi', 'alergi', 'parah', 'pasca', 'vaksinasi', 'covid', 'cdc', 'sangat', 'jarang']","['soal', 'reaksi', 'alergi', 'parah', 'pasca', 'cdc', 'sangat', 'jarang']","['soal', 'reaksi', 'alergi', 'parah', 'pasca', 'cdc', 'sangat', 'jarang']"
593,"Kantongi Restu BPOM, Bio Farma Siap Produksi 100 Juta Vaksin Tahap Pertama",detikHealth,1,kantongi restu bpom bio farma siap produksi juta vaksin tahap pertama,"['kantongi', 'restu', 'bpom', 'bio', 'farma', 'siap', 'produksi', 'juta', 'vaksin', 'tahap', 'pertama']","['kantongi', 'restu', 'bpom', 'bio', 'farma', 'siap', 'produksi', 'juta', 'tahap', 'pertama']","['kantong', 'restu', 'bpom', 'bio', 'farma', 'siap', 'produksi', 'juta', 'tahap', 'pertama']"
594,Beda 7 Jenis Vaksin COVID-19 yang Akan Dipakai di Indonesia,detikHealth,0,beda jenis vaksin covid yang akan dipakai di indonesia,"['beda', 'jenis', 'vaksin', 'covid', 'yang', 'akan', 'dipakai', 'di', 'indonesia']","['beda', 'jenis', 'dipakai', 'indonesia']","['beda', 'jenis', 'pakai', 'indonesia']"
595,WNI di UEA Ceritakan Pengalaman Dapat Vaksin COVID-19 Dosis Kedua,detikHealth,0,wni di uea ceritakan pengalaman dapat vaksin covid dosis kedua,"['wni', 'di', 'uea', 'ceritakan', 'pengalaman', 'dapat', 'vaksin', 'covid', 'dosis', 'kedua']","['wni', 'uea', 'ceritakan', 'pengalaman', 'dosis', 'kedua']","['wni', 'uea', 'cerita', 'alam', 'dosis', 'dua']"
596,Ini Jadwal Vaksinasi COVID-19 2021 di Indonesia,detikHealth,0,ini jadwal vaksinasi covid di indonesia,"['ini', 'jadwal', 'vaksinasi', 'covid', 'di', 'indonesia']","['', 'jadwal', 'indonesia']","['', 'jadwal', 'indonesia']"
597,Alasan Wapres Ma'ruf Amin Belum Akan Disuntik Vaksin COVID-19,detikHealth,0,alasan wapres maruf amin belum akan disuntik vaksin covid,"['alasan', 'wapres', 'maruf', 'amin', 'belum', 'akan', 'disuntik', 'vaksin', 'covid']","['alasan', 'wapres', 'maruf', 'amin', 'disuntik', '']","['alas', 'wapres', 'maruf', 'amin', 'suntik', '']"
598,Ahli Virologi Duga Varian Baru Corona di Negara Ini Picu Gejala COVID-19 Berat,detikHealth,-1,ahli virologi duga varian baru corona di negara ini picu gejala covid berat,"['ahli', 'virologi', 'duga', 'varian', 'baru', 'corona', 'di', 'negara', 'ini', 'picu', 'gejala', 'covid', 'berat']","['ahli', 'virologi', 'duga', 'varian', 'baru', 'negara', 'picu', 'gejala', 'berat']","['ahli', 'virologi', 'duga', 'varian', 'baru', 'negara', 'picu', 'gejala', 'berat']"
599,"Jelang Vaksinasi COVID-19, Menkes Ingatkan Puskesmas yang Tak Punya Kulkas",detikHealth,0,jelang vaksinasi covid menkes ingatkan puskesmas yang tak punya kulkas,"['jelang', 'vaksinasi', 'covid', 'menkes', 'ingatkan', 'puskesmas', 'yang', 'tak', 'punya', 'kulkas']","['jelang', 'menkes', 'ingatkan', 'puskesmas', 'tak', 'punya', 'kulkas']","['jelang', 'menkes', 'ingat', 'puskesmas', 'tak', 'punya', 'kulkas']"
600,"Termasuk Ma'ruf Amin, Ini Kriteria Orang yang Belum Bisa Terima Vaksin Sinovac",detikHealth,0,termasuk maruf amin ini kriteria orang yang belum bisa terima vaksin sinovac,"['termasuk', 'maruf', 'amin', 'ini', 'kriteria', 'orang', 'yang', 'belum', 'bisa', 'terima', 'vaksin', 'sinovac']","['termasuk', 'maruf', 'amin', 'kriteria', 'orang', 'terima', 'sinovac']","['masuk', 'maruf', 'amin', 'kriteria', 'orang', 'terima', 'sinovac']"
601,Daftar 7 Vaksin COVID-19 yang Beredar di Indonesia,detikHealth,0,daftar vaksin covid yang beredar di indonesia,"['daftar', 'vaksin', 'covid', 'yang', 'beredar', 'di', 'indonesia']","['daftar', 'beredar', 'indonesia']","['daftar', 'edar', 'indonesia']"
602,"Wapres Ma'ruf Amin Tak Disuntik Vaksin Corona Sinovac, Ini Alasannya",detikHealth,0,wapres maruf amin tak disuntik vaksin corona sinovac ini alasannya,"['wapres', 'maruf', 'amin', 'tak', 'disuntik', 'vaksin', 'corona', 'sinovac', 'ini', 'alasannya']","['wapres', 'maruf', 'amin', 'tak', 'disuntik', 'sinovac', 'alasannya']","['wapres', 'maruf', 'amin', 'tak', 'suntik', 'sinovac', 'alas']"
603,China Pastikan Vaksinnya Efektif Melawan Varian Corona yang Baru,detikHealth,1,china pastikan vaksinnya efektif melawan varian corona yang baru,"['china', 'pastikan', 'vaksinnya', 'efektif', 'melawan', 'varian', 'corona', 'yang', 'baru']","['china', 'pastikan', 'vaksinnya', 'efektif', 'melawan', 'varian', 'baru']","['china', 'pasti', 'vaksin', 'efektif', 'lawan', 'varian', 'baru']"
604,7.450 Lansia di Banjarmasin Jalani Vaksinasi Covid-19,Kompas,0,lansia di banjarmasin jalani vaksinasi covid,"['lansia', 'di', 'banjarmasin', 'jalani', 'vaksinasi', 'covid']","['lansia', 'banjarmasin', 'jalani', '']","['lansia', 'banjarmasin', 'jalan', '']"
605,"2.500 Anggota Polda Bali Terima Vaksin Covid-19, Kapolda: Tetap Patuhi Protokol Kesehatan",Kompas,0,anggota polda bali terima vaksin covid kapolda tetap patuhi protokol kesehatan,"['anggota', 'polda', 'bali', 'terima', 'vaksin', 'covid', 'kapolda', 'tetap', 'patuhi', 'protokol', 'kesehatan']","['anggota', 'polda', 'bali', 'terima', 'kapolda', 'tetap', 'patuhi', 'protokol', 'kesehatan']","['anggota', 'polda', 'bal', 'terima', 'kapolda', 'tetap', 'patuh', 'protokol', 'sehat']"
606,"Soal Vaksinasi Mandiri, IDI Minta Pemerintah Perhatikan Pekerja yang Bukan Karyawan",Kompas,0,soal vaksinasi mandiri idi minta pemerintah perhatikan pekerja yang bukan karyawan,"['soal', 'vaksinasi', 'mandiri', 'idi', 'minta', 'pemerintah', 'perhatikan', 'pekerja', 'yang', 'bukan', 'karyawan']","['soal', 'mandiri', 'idi', 'minta', 'pemerintah', 'perhatikan', 'pekerja', 'bukan', 'karyawan']","['soal', 'mandiri', 'idi', 'minta', 'perintah', 'perhati', 'kerja', 'bukan', 'karyawan']"
607,Ratusan Pedagang Pasar Depok dan Harjodaksino Solo Divaksin Covid-19 Besok,Kompas,0,ratusan pedagang pasar depok dan harjodaksino solo divaksin covid besok,"['ratusan', 'pedagang', 'pasar', 'depok', 'dan', 'harjodaksino', 'solo', 'divaksin', 'covid', 'besok']","['ratusan', 'pedagang', 'pasar', 'depok', 'harjodaksino', 'solo', 'besok']","['ratus', 'dagang', 'pasar', 'depok', 'harjodaksino', 'solo', 'besok']"
608,FDA Resmi Setujui Penggunaan Vaksin Covid-19 Johnson & Johnson Dosis Tunggal,Kompas,1,fda resmi setujui penggunaan vaksin covid johnson johnson dosis tunggal,"['fda', 'resmi', 'setujui', 'penggunaan', 'vaksin', 'covid', 'johnson', 'johnson', 'dosis', 'tunggal']","['fda', 'resmi', 'setujui', 'penggunaan', 'johnson', 'johnson', 'dosis', 'tunggal']","['fda', 'resmi', 'tuju', 'guna', 'johnson', 'johnson', 'dosis', 'tunggal']"
609,UPDATE 28 Februari: 1.691.724 Orang Telah Terima Vaksin Covid-19 Dosis Pertama,Kompas,0,update februari orang telah terima vaksin covid dosis pertama,"['update', 'februari', 'orang', 'telah', 'terima', 'vaksin', 'covid', 'dosis', 'pertama']","['update', 'februari', 'orang', 'terima', 'dosis', 'pertama']","['update', 'februari', 'orang', 'terima', 'dosis', 'pertama']"
610,16.909 Guru dan Tenaga Kependidikan di DIY Bakal Divaksin Covid-19 Tahap 2,Kompas,0,guru dan tenaga kependidikan di diy bakal divaksin covid tahap,"['guru', 'dan', 'tenaga', 'kependidikan', 'di', 'diy', 'bakal', 'divaksin', 'covid', 'tahap']","['guru', 'tenaga', 'kependidikan', 'diy', 'bakal', 'tahap']","['guru', 'tenaga', 'didik', 'diy', 'bakal', 'tahap']"
611,"Cerita Lansia Divaksin Covid-19, Sempat Gemetaran, Akhirnya Senang",Kompas,1,cerita lansia divaksin covid sempat gemetaran akhirnya senang,"['cerita', 'lansia', 'divaksin', 'covid', 'sempat', 'gemetaran', 'akhirnya', 'senang']","['cerita', 'lansia', 'sempat', 'gemetaran', 'akhirnya', 'senang']","['cerita', 'lansia', 'sempat', 'gemetar', 'akhir', 'senang']"
612,Epidemiolog Khawatir Narasi Vaksinasi Gotong Royong Membuat Pemerintah Abaikan 3T,Kompas,0,epidemiolog khawatir narasi vaksinasi gotong royong membuat pemerintah abaikan ,"['epidemiolog', 'khawatir', 'narasi', 'vaksinasi', 'gotong', 'royong', 'membuat', 'pemerintah', 'abaikan', '']","['epidemiolog', 'khawatir', 'narasi', 'gotong', 'royong', 'membuat', 'pemerintah', 'abaikan']","['epidemiolog', 'khawatir', 'narasi', 'gotong', 'royong', 'buat', 'perintah', 'abai']"
613,UPDATE 27 Februari: 1.616.165 Tenaga Kesehatan Disuntik Vaksin Covid-19 Dosis Pertama,Kompas,0,update februari tenaga kesehatan disuntik vaksin covid dosis pertama,"['update', 'februari', 'tenaga', 'kesehatan', 'disuntik', 'vaksin', 'covid', 'dosis', 'pertama']","['update', 'februari', 'tenaga', 'kesehatan', 'disuntik', 'dosis', 'pertama']","['update', 'februari', 'tenaga', 'sehat', 'suntik', 'dosis', 'pertama']"
614,Kemenkes Imbau Perusahaan Perhatikan Kesehatan Karyawan Sebelum Disuntik Vaksin Covid-19,Kompas,0,kemenkes imbau perusahaan perhatikan kesehatan karyawan sebelum disuntik vaksin covid,"['kemenkes', 'imbau', 'perusahaan', 'perhatikan', 'kesehatan', 'karyawan', 'sebelum', 'disuntik', 'vaksin', 'covid']","['kemenkes', 'imbau', 'perusahaan', 'perhatikan', 'kesehatan', 'karyawan', 'disuntik', '']","['kemenkes', 'imbau', 'usaha', 'perhati', 'sehat', 'karyawan', 'suntik', '']"
615,"Sudah Divaksin, Bupati dan Wakil Bupati Ciamis Tetap Terpapar Covid-19",Kompas,-1,sudah divaksin bupati dan wakil bupati ciamis tetap terpapar covid,"['sudah', 'divaksin', 'bupati', 'dan', 'wakil', 'bupati', 'ciamis', 'tetap', 'terpapar', 'covid']","['', 'bupati', 'wakil', 'bupati', 'ciamis', 'tetap', 'terpapar', '']","['', 'bupati', 'wakil', 'bupati', 'ciamis', 'tetap', 'papar', '']"
616,Kemenkes Beri 6 Tips Sebelum Disuntik Vaksin Covid-19,Kompas,0,kemenkes beri tips sebelum disuntik vaksin covid,"['kemenkes', 'beri', 'tips', 'sebelum', 'disuntik', 'vaksin', 'covid']","['kemenkes', 'beri', 'tips', 'disuntik', '']","['kemenkes', 'beri', 'tips', 'suntik', '']"
617,"Vaksin Covid-19 Picu Efek Samping Mirip Kanker Payudara, Berbahayakah?",Kompas,-1,vaksin covid picu efek samping mirip kanker payudara berbahayakah,"['vaksin', 'covid', 'picu', 'efek', 'samping', 'mirip', 'kanker', 'payudara', 'berbahayakah']","['', 'picu', 'efek', 'samping', 'mirip', 'kanker', 'payudara', 'berbahayakah']","['', 'picu', 'efek', 'samping', 'mirip', 'kanker', 'payudara', 'bahaya']"
618,20 Lansia Telah Divasin Covid-19 di RS Pratama Kota Yogyakarta,Kompas,0,lansia telah divasin covid di rs pratama kota yogyakarta,"['lansia', 'telah', 'divasin', 'covid', 'di', 'rs', 'pratama', 'kota', 'yogyakarta']","['lansia', 'divasin', 'rs', 'pratama', 'kota', 'yogyakarta']","['lansia', 'divasin', 'rs', 'pratama', 'kota', 'yogyakarta']"
619,Pimpinan Komisi IX Minta Pendataan Vaksinasi Gotong Royong Dibuat Detail,Kompas,0,pimpinan komisi ix minta pendataan vaksinasi gotong royong dibuat detail,"['pimpinan', 'komisi', 'ix', 'minta', 'pendataan', 'vaksinasi', 'gotong', 'royong', 'dibuat', 'detail']","['pimpinan', 'komisi', 'ix', 'minta', 'pendataan', 'gotong', 'royong', 'dibuat', 'detail']","['pimpin', 'komisi', 'ix', 'minta', 'data', 'gotong', 'royong', 'buat', 'detail']"
620,Kemenkes: Vaksinasi Gotong Royong Gratis untuk Karyawan dan Keluarga ,Kompas,1,kemenkes vaksinasi gotong royong gratis untuk karyawan dan keluarga,"['kemenkes', 'vaksinasi', 'gotong', 'royong', 'gratis', 'untuk', 'karyawan', 'dan', 'keluarga']","['kemenkes', 'gotong', 'royong', 'gratis', 'karyawan', 'keluarga']","['kemenkes', 'gotong', 'royong', 'gratis', 'karyawan', 'keluarga']"
621,Wapres: Bendera Merah Putih Berkibar di Luar Negeri Hanya karena 2 Hal,Kompas,0,wapres bendera merah putih berkibar di luar negeri hanya karena hal,"['wapres', 'bendera', 'merah', 'putih', 'berkibar', 'di', 'luar', 'negeri', 'hanya', 'karena', 'hal']","['wapres', 'bendera', 'merah', 'putih', 'berkibar', 'luar', 'negeri', '']","['wapres', 'bendera', 'merah', 'putih', 'kibar', 'luar', 'negeri', '']"
622,"Vaksin Covid-19 Bisa Sebabkan ""Covid Arm"", Apakah Berbahaya?",Kompas,-1,vaksin covid bisa sebabkan covid arm apakah berbahaya,"['vaksin', 'covid', 'bisa', 'sebabkan', 'covid', 'arm', 'apakah', 'berbahaya']","['', 'sebabkan', 'arm', 'berbahaya']","['', 'sebab', 'arm', 'bahaya']"
623,Pedagang Pasar Gede dan Klewer Solo Bakal Divaksin Covid-19 Lusa,Kompas,0,pedagang pasar gede dan klewer solo bakal divaksin covid lusa,"['pedagang', 'pasar', 'gede', 'dan', 'klewer', 'solo', 'bakal', 'divaksin', 'covid', 'lusa']","['pedagang', 'pasar', 'gede', 'klewer', 'solo', 'bakal', 'lusa']","['dagang', 'pasar', 'gede', 'klewer', 'solo', 'bakal', 'lusa']"
624,Begini Upaya Pemkab Wonogiri Bujuk Warga Lansia agar Mau Divaksin Covid-19,Kompas,0,begini upaya pemkab wonogiri bujuk warga lansia agar mau divaksin covid,"['begini', 'upaya', 'pemkab', 'wonogiri', 'bujuk', 'warga', 'lansia', 'agar', 'mau', 'divaksin', 'covid']","['begini', 'upaya', 'pemkab', 'wonogiri', 'bujuk', 'warga', 'lansia', 'mau', '']","['begini', 'upaya', 'pemkab', 'wonogiri', 'bujuk', 'warga', 'lansia', 'mau', '']"
625,Wapres: Indonesia Berkomitmen Bantu Negara yang Butuh Vaksin Covid-19,Kompas,0,wapres indonesia berkomitmen bantu negara yang butuh vaksin covid,"['wapres', 'indonesia', 'berkomitmen', 'bantu', 'negara', 'yang', 'butuh', 'vaksin', 'covid']","['wapres', 'indonesia', 'berkomitmen', 'bantu', 'negara', 'butuh', '']","['wapres', 'indonesia', 'komitmen', 'bantu', 'negara', 'butuh', '']"
